"Subject"	"Script"	"Condition"	"Gender"	"Sex"	"Race"	"Subset"	"mapping"	"laptop"	"Date"	"Time"	"Block"	"Trial"	"TrialType"	"CueType"	"ProbeType"	"BlackPrime"	"BlackTarget"	"GunTarget"	"WhitePrime"	"ToolTarget"	"Probe.ACC"	"Probe.RT"	"feedbackmask"	"Note"	"CueClass"	"ProbeClass"	"Probe"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"74"	"WhiteGun"	"whiteface4.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	"WEAPON3dk.bmp"	"whiteface4.bmp"	"NULL"	1	390	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"75"	"BlackTool"	"BlackFace4.bmp"	"TOOL1.bmp"	"BlackFace4.bmp"	"NULL"	"NULL"	"NULL"	"TOOL1.bmp"	1	538	"slow"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"76"	"WhiteGun"	"whiteface1.bmp"	"WEAPON2dk.bmp"	"NULL"	"NULL"	"WEAPON2dk.bmp"	"whiteface1.bmp"	"NULL"	1	397	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"77"	"BlackTool"	"BlackFace1.bmp"	"TOOL2.bmp"	"BlackFace1.bmp"	"NULL"	"NULL"	"NULL"	"TOOL2.bmp"	1	432	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"78"	"BlackTool"	"BlackFace4.bmp"	"TOOL3.bmp"	"BlackFace4.bmp"	"NULL"	"NULL"	"NULL"	"TOOL3.bmp"	0	236	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"79"	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	"BlackFace3.bmp"	"NULL"	"NULL"	"NULL"	"TOOL1.bmp"	1	439	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"80"	"BlackTool"	"BlackFace2.bmp"	"TOOL4.bmp"	"BlackFace2.bmp"	"NULL"	"NULL"	"NULL"	"TOOL4.bmp"	1	446	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"81"	"BlackGun"	"BlackFace1.bmp"	"WEAPON1dk.bmp"	"BlackFace1.bmp"	"NULL"	"WEAPON1dk.bmp"	"NULL"	"NULL"	1	465	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"82"	"BlackGun"	"BlackFace3.bmp"	"WEAPON3dk.bmp"	"BlackFace3.bmp"	"NULL"	"WEAPON3dk.bmp"	"NULL"	"NULL"	1	417	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"83"	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	"BlackFace2.bmp"	"NULL"	"NULL"	"NULL"	"TOOL3.bmp"	1	381	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"84"	"WhiteGun"	"whiteface2.bmp"	"WEAPON4dk.bmp"	"NULL"	"NULL"	"WEAPON4dk.bmp"	"whiteface2.bmp"	"NULL"	1	514	"slow"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"85"	"BlackGun"	"BlackFace4.bmp"	"WEAPON3dk.bmp"	"BlackFace4.bmp"	"NULL"	"WEAPON3dk.bmp"	"NULL"	"NULL"	1	366	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"86"	"WhiteGun"	"whiteface3.bmp"	"WEAPON4dk.bmp"	"NULL"	"NULL"	"WEAPON4dk.bmp"	"whiteface3.bmp"	"NULL"	1	356	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"87"	"BlackGun"	"BlackFace1.bmp"	"WEAPON2dk.bmp"	"BlackFace1.bmp"	"NULL"	"WEAPON2dk.bmp"	"NULL"	"NULL"	1	401	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"88"	"WhiteTool"	"whiteface1.bmp"	"TOOL2.bmp"	"NULL"	"NULL"	"NULL"	"whiteface1.bmp"	"TOOL2.bmp"	1	294	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"89"	"WhiteGun"	"whiteface4.bmp"	"WEAPON1dk.bmp"	"NULL"	"NULL"	"WEAPON1dk.bmp"	"whiteface4.bmp"	"NULL"	1	348	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"90"	"WhiteTool"	"whiteface1.bmp"	"TOOL4.bmp"	"NULL"	"NULL"	"NULL"	"whiteface1.bmp"	"TOOL4.bmp"	1	250	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"91"	"BlackTool"	"BlackFace3.bmp"	"TOOL1.bmp"	"BlackFace3.bmp"	"NULL"	"NULL"	"NULL"	"TOOL1.bmp"	0	294	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"92"	"BlackTool"	"BlackFace4.bmp"	"TOOL2.bmp"	"BlackFace4.bmp"	"NULL"	"NULL"	"NULL"	"TOOL2.bmp"	1	422	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"93"	"WhiteTool"	"whiteface4.bmp"	"TOOL3.bmp"	"NULL"	"NULL"	"NULL"	"whiteface4.bmp"	"TOOL3.bmp"	1	382	"fast"	NA	"white"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"94"	"BlackGun"	"BlackFace1.bmp"	"WEAPON1dk.bmp"	"BlackFace1.bmp"	"NULL"	"WEAPON1dk.bmp"	"NULL"	"NULL"	1	376	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"95"	"BlackTool"	"BlackFace2.bmp"	"TOOL3.bmp"	"BlackFace2.bmp"	"NULL"	"NULL"	"NULL"	"TOOL3.bmp"	1	466	"fast"	NA	"Black"	"TOOL"	"Other"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"96"	"BlackGun"	"BlackFace1.bmp"	"WEAPON2dk.bmp"	"BlackFace1.bmp"	"NULL"	"WEAPON2dk.bmp"	"NULL"	"NULL"	1	469	"fast"	NA	"Black"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"97"	"WhiteGun"	"whiteface3.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	"WEAPON3dk.bmp"	"whiteface3.bmp"	"NULL"	1	422	"fast"	NA	"white"	"WEAP"	"Gun"
"20"	"Scherer_2015_GT"	"GunTool"	"NULL"	"F"	"NULL"	"Inconvenience"	"RightGun"	"heavy"	"5/8/2015"	"12:13:34"	"RunProc"	"98"	"BlackTool"	"BlackFace2.bmp"	"TOOL2.bmp"	"BlackFace2.bmp"	"NULL"	"NULL"	"NULL"	"TOOL2.bmp"	1	399	"fast"	NA	"Black"	"TOOL"	"Other"
