"sub"	"race"	"Condition"	"TrialType"	"CueType"	"ProbeType"	"mapping"	"rt"	"acc"	"C"	"A"
98	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	371.569444444444	0.902777777777778	0.602777777777778	0.755244755244756
98	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"LeftGun"	372.12	0.706666666666667	0.495399061032864	0.418682545589878
99	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	399.859154929577	0.845070422535211	0.420412888288636	0.732689747003994
99	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	398.041095890411	0.780821917808219	0.414624734709627	0.625576796308504
100	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	404.44	0.906666666666667	0.627254901960785	0.74960547080484
100	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	429.547945205479	0.89041095890411	0.751522070015221	0.558958652373661
101	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	428.376811594203	0.956521739130435	0.838100686498856	0.731448763250885
101	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	424.547945205479	0.876712328767123	0.819569471624266	0.316702819956615
102	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	396.295774647887	0.690140845070423	0.315140845070423	0.547557840616967
102	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	423.648648648649	0.743243243243243	0.461553102398173	0.523153057617532
103	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	351	0.708333333333333	0.288043478260869	0.590330788804071
103	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	332	0.608108108108108	0.293039614957423	0.445666404818015
105	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	332.186666666667	0.653333333333333	0.146291079812206	0.593928728552574
105	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	329.323943661972	0.746478873239437	0.323943661971831	0.625
106	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	382.5	0.833333333333333	0.573059360730593	0.609625668449198
106	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	382.671232876712	0.876712328767123	0.719569471624266	0.560362875087229
107	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	380.414285714286	0.971428571428571	0.876833976833976	0.768025078369903
107	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	383.260273972603	0.835616438356164	0.751109396102643	0.339534883720929
108	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	333.082191780822	0.767123287671233	0.232876712328767	0.696428571428572
108	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	325.808219178082	0.753424657534247	0.260671034345841	0.666487647690656
109	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	448.493150684931	1	0.942857142857143	1
109	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	460.138888888889	0.958333333333333	0.889840182648401	0.621761658031088
